state_fips,weight,income,urban
1,3596.9,"$45,000",1
1,5125.2,"$46,600",0
1,3429.8,"$29,600",1
1,4471.3,"$31,100",0
1,3358.3,"$64,400",1
1,5476.6,"$40,300",0
1,4910.7,"$23,400",1
1,3583.6,"$27,000",0
1,7437.7,"$35,800",0
1,5481.8,"$28,700",1
1,6168.9,"$20,500",1
1,4528.9,"$25,400",1
1,6154.9,"$44,900",0
1,4518.1,"$40,700",0
1,3984.1,"$38,400",1
1,3214.8,"$62,800",1
1,7159.1,"$54,800",1
1,3732.8,"$24,500",0
1,3522.8,"$78,800",0
1,5243.1,"$36,300",1
1,3320.0,"$39,100",1
1,8403.5,"$47,800",1
1,5536.6,"$49,000",0
1,5770.5,"$58,400",0
1,3748.1,"$17,400",0
1,3380.9,"$51,700",0
1,6646.4,"$47,400",1
1,5347.8,"$26,000",1
1,4093.1,"$37,900",1
1,5976.4,"$53,800",1
1,7073.9,"$46,100",1
1,2128.1,"$61,500",0
1,5273.2,"$61,500",0
1,5611.5,"$49,300",1
1,6631.3,"$33,900",1
1,4278.4,"$46,200",1
1,5351.4,"$36,700",0
1,5894.3,"$41,100",1
1,7699.8,"$59,200",0
1,4427.7,"$63,800",0
1,3793.0,"$39,700",0
1,8297.7,"$42,600",1
1,6139.3,"$41,300",1
1,4976.8,"$46,600",0
1,4444.7,"$37,300",1
1,4168.7,"$60,200",1
1,4744.7,"$41,300",0
1,4270.7,"$45,900",0
1,6071.5,"$55,600",0
1,4320.2,"$19,600",0
1,6618.6,"$44,600",0
1,5484.7,"$60,100",0
1,7803.1,"$33,400",0
1,3349.3,"$79,200",0
1,3432.4,"$31,400",1
1,3712.2,"$74,900",1
1,4026.6,"$58,300",1
1,5173.7,"$19,100",1
1,4582.5,"$56,200",0
1,4656.1,"$23,700",0
1,3522.7,"$33,700",0
1,5443.3,"$21,300",0
1,5533.0,"$43,900",1
1,5348.0,"$41,800",0
1,5734.9,"$35,900",1
1,5638.2,"$45,200",1
1,4569.4,"$43,400",1
1,4597.9,"$28,700",1
1,4702.0,"$27,700",1
1,4601.4,"$61,500",1
1,3456.1,"$45,000",0
1,5492.0,"$33,900",1
1,9639.2,"$38,100",0
1,5437.4,"$39,900",0
1,5233.5,"$45,300",1
1,8875.1,"$49,000",0
1,4856.7,"$40,000",1
1,5379.3,"$45,700",0
1,5000.1,"$36,900",0
1,3349.0,"$53,600",1
1,4460.9,"$44,000",1
1,4701.8,"$42,500",1
1,5320.0,"$25,200",0
1,6156.6,"$28,000",1
1,6342.2,"$28,900",1
1,3406.0,"$55,000",0
1,7796.7,"$30,100",0
1,5136.1,"$81,600",1
1,5204.7,"$24,000",1
1,3657.2,"$38,400",1
1,7639.7,"$26,700",1
1,3219.4,"$69,500",0
1,3723.9,"$69,600",0
1,3428.1,"$41,000",0
1,5500.8,"$52,100",0
1,6123.6,"$44,200",1
