state_fips,age,income,urban,weight
1,85,"$61,077",1,3963.3
1,19,"$29,958",0,3961.7
1,70,"$24,709",1,4876.1
1,35,"$26,908",0,4032.7
1,45,"$33,108",1,5726.8
1,34,"$37,622",1,4162.8
1,44,"$53,768",0,4478.2
1,38,"$42,005",0,4138.0
1,18,"$32,024",1,4767.4
1,65,"$13,733",1,4042.2
1,42,"$27,541",0,4152.5
1,72,"$37,333",0,4223.6
1,38,"$47,059",1,4346.9
1,70,"$25,115",1,5598.9
1,22,"$47,882",0,5318.2
1,79,"$25,959",1,4641.7
1,28,"$21,427",1,4053.2
1,46,"$32,496",1,5734.4
1,83,"$41,467",0,4519.7
1,81,"$39,597",0,4209.7
1,23,"$26,260",0,5887.2
1,22,"$28,519",0,4430.5
1,63,"$37,185",1,5710.1
1,84,"$51,135",0,3973.1
1,23,"$39,509",1,5018.9
1,75,"$13,314",1,3995.8
1,47,"$34,127",1,4515.7
1,81,"$26,854",1,5156.8
1,25,"$53,950",0,3959.9
1,35,"$22,412",0,4716.1
1,62,"$56,042",1,4336.0
1,21,"$30,412",1,5537.4
1,50,"$36,903",1,4961.0
1,29,"$39,192",1,4938.7
1,63,"$31,018",1,5374.5
1,74,"$23,757",1,5790.9
1,55,"$44,460",1,5680.5
1,42,"$24,782",1,4869.1
1,69,"$54,362",1,5049.3
1,29,"$47,156",1,4168.3
1,33,"$45,338",1,4468.8
1,44,"$43,668",1,5016.6
1,77,"$38,476",0,4131.5
1,83,"$41,819",0,4495.3
1,29,"$47,093",0,4237.4
1,47,"$40,480",0,4464.3
1,44,"$18,017",1,4990.3
1,18,"$19,083",0,5614.6
1,44,"$44,463",0,4738.1
1,80,"$30,401",0,4074.6
1,74,"$18,947",1,4207.7
1,72,"$34,578",0,5152.8
1,64,"$33,160",0,5255.8
1,62,"$49,789",1,5888.9
1,21,"$49,029",1,4658.4
1,19,"$12,659",0,5076.1
1,84,"$30,697",1,5516.0
1,30,"$43,817",0,4063.6
1,35,"$46,747",0,4968.1
1,47,"$39,718",1,4042.2
1,48,"$52,841",1,4591.7
1,83,"$33,420",1,5712.2
1,39,"$45,580",0,5463.8
1,21,"$43,197",0,4686.9
1,23,"$38,175",0,5558.6
1,24,"$34,702",1,4971.6
1,23,"$10,137",0,5144.2
1,66,"$21,958",1,4294.3
1,40,"$32,177",1,5886.5
1,67,"$34,271",0,5131.4
1,60,"$43,651",1,4739.1
1,84,"$20,587",0,3970.6
1,59,"$20,507",0,5124.7
1,61,"$42,900",0,4311.6
1,35,"$40,812",1,5082.4
1,21,"$45,163",0,4223.5
1,23,"$53,733",0,4235.4
1,39,"$30,274",1,5049.1
1,64,"$39,775",1,4254.2
1,75,"$19,279",1,5615.9
1,31,"$19,130",0,5229.7
1,25,"$51,876",1,5588.5
1,43,"$29,811",0,5347.7
1,50,"$27,614",1,4289.1
1,77,"$53,384",1,5514.1
1,33,"$43,621",1,4887.0
1,77,"$34,319",0,5057.7
1,23,"$35,266",0,5184.8
1,55,"$27,182",0,4018.7
1,80,"$49,924",0,5607.5
1,19,"$33,130",0,5392.2
1,63,"$46,194",0,5199.0
1,45,"$39,602",0,5129.0
1,85,"$28,895",1,4996.4
1,40,"$31,863",1,4346.5
1,67,"$49,993",1,4382.3
1,68,"$36,385",0,5147.9
1,41,"$33,946",1,3982.4
1,68,"$21,766",0,5064.9
1,30,"$30,478",0,4497.5
1,75,"$40,470",0,5610.8
1,49,"$58,506",0,4184.0
1,28,"$25,031",0,5368.3
1,58,"$34,426",0,5593.3
1,70,"$22,962",1,4559.2
1,31,"$51,164",0,4895.5
1,22,"$32,488",1,5690.6
1,48,"$36,410",1,5195.1
1,41,"$53,467",0,5063.5
1,42,"$41,238",0,4481.3
1,45,"$28,693",1,5750.8
1,31,"$50,893",0,5660.3
1,22,"$18,844",1,5248.1
1,56,"$39,893",0,4898.5
1,54,"$44,612",0,4583.1
1,27,"$31,759",1,4493.2
1,33,"$29,297",1,4931.5
1,21,"$57,166",0,5812.0
1,49,"$49,296",0,4802.1
1,51,"$36,487",0,5191.6
1,76,"$30,692",1,4917.2
1,58,"$30,262",0,4901.8
1,58,"$19,926",0,4612.8
1,54,"$20,748",0,4845.5
1,24,"$21,323",1,5675.5
1,40,"$31,883",0,5150.8
1,31,"$27,653",1,5808.2
1,27,"$20,159",1,4255.7
1,30,"$32,364",0,5339.7
1,58,"$42,500",1,4498.7
1,29,"$24,530",0,4654.0
1,60,"$46,232",1,5273.5
1,85,"$43,818",0,5387.6
1,55,"$44,074",0,4538.6
1,81,"$10,137",0,4393.9
1,51,"$56,663",0,4112.3
1,20,"$31,763",1,4246.8
1,78,"$21,472",1,4876.9
1,61,"$25,544",0,5576.3
1,28,"$35,789",1,5072.5
1,76,"$10,137",0,5734.9
1,34,"$18,773",1,5573.3
1,60,"$36,944",1,5794.3
1,25,"$41,331",0,5336.7
1,19,"$54,135",1,4201.8
1,78,"$44,944",0,4253.8
1,45,"$26,161",0,3977.1
1,53,"$22,769",1,4623.3
1,76,"$43,354",0,4471.2
1,38,"$39,145",1,4084.4
1,63,"$33,424",0,4305.8
1,32,"$10,137",1,5503.1
