state_fips,age,income,urban,weight
1,27,"$34,891",1,4296.3
1,32,"$58,397",0,5354.4
1,21,"$32,744",0,5473.5
1,61,"$22,498",1,5593.0
1,21,"$51,797",0,4651.0
1,45,"$32,541",1,4383.5
1,51,"$37,346",1,4791.4
1,80,"$45,364",1,5976.0
1,37,"$40,552",0,5836.7
1,82,"$30,254",0,4507.7
1,25,"$30,166",1,4229.5
1,18,"$19,018",0,4264.6
1,19,"$37,636",1,5696.8
1,74,"$18,880",0,4063.0
1,38,"$42,745",1,4439.4
1,52,"$45,442",1,5851.4
1,59,"$37,682",0,5664.2
1,44,"$32,854",1,4625.5
1,81,"$36,321",0,4228.0
1,59,"$51,359",1,5931.9
1,81,"$37,906",1,5296.4
1,84,"$32,686",0,4642.2
1,43,"$29,344",0,4575.0
1,75,"$13,568",1,4588.1
1,35,"$34,579",1,5286.1
1,23,"$46,864",1,4053.1
1,38,"$50,657",1,4230.2
1,72,"$51,548",1,4144.9
1,72,"$53,908",1,4243.0
1,59,"$37,264",0,5000.9
1,72,"$20,610",1,5039.5
1,50,"$26,648",0,5261.6
1,55,"$46,652",1,4919.5
1,47,"$52,307",0,5687.0
1,57,"$18,844",1,5409.7
1,77,"$39,189",1,6011.1
1,45,"$46,261",1,5274.9
1,53,"$64,941",1,4061.8
1,49,"$28,192",1,4699.7
1,24,"$38,872",0,4573.6
1,70,"$43,543",1,4707.1
1,18,"$40,578",0,4548.8
1,45,"$51,073",0,5395.7
1,30,"$49,479",0,4946.7
1,30,"$36,848",0,4520.1
1,62,"$42,445",0,5719.7
1,25,"$24,719",1,5111.1
1,66,"$47,144",1,4056.5
1,18,"$46,782",1,4874.7
1,43,"$22,515",1,4614.7
1,71,"$23,753",0,4680.4
1,35,"$14,648",0,5646.7
1,66,"$33,349",0,4958.6
1,21,"$27,668",0,5645.6
1,63,"$42,758",1,5458.8
1,59,"$20,339",0,4120.8
1,43,"$52,914",1,5727.3
1,25,"$52,583",1,5695.3
1,38,"$39,853",0,5602.1
1,36,"$12,267",1,4141.8
1,68,"$33,653",1,4794.0
1,83,"$22,614",0,4685.8
1,53,"$53,552",0,4799.4
1,47,"$39,189",0,5382.4
1,20,"$36,021",1,4231.1
1,62,"$41,351",1,5107.4
1,66,"$42,108",0,4739.9
1,36,"$47,148",1,4117.4
1,79,"$26,958",1,4422.9
1,66,"$28,791",1,4247.2
1,83,"$31,805",0,4749.1
1,65,"$32,531",0,5972.2
1,53,"$47,712",1,4139.7
1,37,"$24,519",1,4124.9
1,32,"$31,175",1,5931.2
1,41,"$22,121",1,4575.8
1,72,"$39,365",1,5570.5
1,64,"$39,197",1,5540.4
1,78,"$50,274",1,5152.7
1,53,"$54,983",1,4958.1
1,64,"$27,713",1,5568.2
1,77,"$22,295",0,4315.1
1,71,"$47,033",1,4860.8
1,22,"$34,427",1,5160.8
1,34,"$37,545",1,5421.4
1,35,"$24,662",0,5959.3
1,64,"$57,598",1,5532.6
1,73,"$49,487",0,4745.4
1,29,"$40,826",1,5963.4
1,26,"$40,651",1,5794.4
1,67,"$56,091",1,4303.2
1,69,"$13,650",0,4969.2
1,36,"$38,419",1,4224.2
1,24,"$47,165",0,5967.4
1,71,"$38,608",1,4059.4
1,84,"$30,949",1,4714.0
1,84,"$55,832",1,5814.1
1,23,"$23,714",0,4154.6
1,62,"$36,182",1,4173.1
1,24,"$29,083",1,5928.9
1,55,"$29,117",1,5112.6
1,26,"$36,556",1,5850.4
1,19,"$55,266",0,5537.5
1,50,"$38,414",0,5654.4
1,45,"$51,275",0,5834.2
1,22,"$10,266",1,5936.6
1,46,"$51,919",1,5896.4
1,66,"$35,160",1,4896.4
1,44,"$46,039",1,4982.1
1,19,"$44,726",1,4517.5
1,22,"$41,975",1,6007.3
1,72,"$35,903",0,5476.8
1,28,"$22,265",0,4197.6
1,58,"$42,592",1,5313.6
1,30,"$49,526",1,5045.7
1,79,"$23,569",1,4190.2
1,63,"$45,694",1,5858.6
1,25,"$18,715",1,4863.7
1,80,"$36,307",1,5925.9
1,58,"$31,946",0,4521.8
1,47,"$51,642",1,5183.9
1,19,"$30,464",0,5060.6
1,46,"$32,056",1,4575.3
1,48,"$26,110",1,5345.5
1,62,"$38,842",0,4930.0
1,72,"$52,682",1,4808.1
1,78,"$26,091",1,5491.6
1,20,"$18,588",0,5632.4
1,30,"$27,188",0,5759.3
1,38,"$46,790",0,5987.5
1,54,"$56,115",0,4175.8
1,23,"$23,913",1,5380.5
1,72,"$41,800",0,5320.0
1,83,"$51,584",1,5141.6
1,57,"$46,179",1,4965.3
1,25,"$14,062",1,5937.2
1,77,"$26,046",0,4542.7
1,35,"$15,134",1,5186.8
1,79,"$22,234",0,4146.9
1,39,"$37,915",1,4624.1
1,77,"$34,477",1,4809.4
1,81,"$43,361",1,5259.3
1,41,"$48,196",0,5110.0
1,37,"$50,079",1,5060.9
1,57,"$24,617",0,5923.3
1,78,"$26,665",0,5285.5
1,62,"$32,166",0,4531.0
1,35,"$32,564",0,5666.6
1,24,"$51,181",0,5894.0
1,35,"$46,057",0,4066.5
1,18,"$33,107",0,5552.2
1,82,"$67,391",1,4266.5
1,52,"$60,022",0,5284.6
1,57,"$47,712",0,4510.8
1,21,"$23,698",1,5467.2
1,39,"$37,074",1,5498.8
1,75,"$53,907",1,5176.5
1,33,"$43,722",0,4610.1
1,49,"$46,782",1,4345.9
1,32,"$51,589",1,4827.1
1,32,"$45,002",1,4105.4
1,81,"$41,802",0,4582.9
1,35,"$10,067",1,4708.6
1,70,"$55,481",0,5253.4
1,26,"$39,950",1,5479.6
1,83,"$44,341",1,6006.2
1,62,"$43,211",0,4394.0
1,37,"$33,429",0,4054.6
1,61,"$40,971",0,5195.5
1,50,"$30,922",0,5240.4
1,30,"$13,661",0,5575.2
1,70,"$39,435",0,5941.9
1,79,"$48,122",1,5539.6
1,22,"$29,389",0,4394.8
1,61,"$15,431",0,5136.2
1,72,"$51,105",0,4642.5
1,28,"$39,705",1,4786.1
1,24,"$54,023",1,4877.4
1,23,"$27,208",0,5918.0
1,26,"$30,036",0,4885.2
1,48,"$36,224",1,4394.1
1,34,"$50,483",1,4300.0
1,83,"$31,428",0,5129.5
1,41,"$42,576",1,4731.3
1,83,"$34,951",1,4105.9
1,48,"$20,229",1,4476.3
1,81,"$40,106",0,4802.8
1,47,"$35,111",0,5466.3
1,85,"$55,251",1,4310.8
1,37,"$36,534",1,5999.6
1,81,"$53,409",0,4485.4
1,74,"$46,623",0,5894.5
1,22,"$36,144",0,5818.8
