state_fips,age,income,urban,weight
1,60,"$35,602",0,17039.9
1,21,"$38,044",1,20640.9
1,57,"$30,391",1,17365.1
1,70,"$21,377",0,18465.3
1,47,"$33,789",1,20210.6
1,30,"$17,261",1,22005.9
1,78,"$33,684",0,19396.6
1,69,"$22,149",1,17774.4
1,57,"$27,824",1,22619.3
1,80,"$32,228",0,17002.3
1,58,"$27,667",1,19072.6
1,77,"$15,085",1,22980.2
1,79,"$33,142",1,20343.7
1,84,"$39,346",0,18099.7
1,69,"$31,290",0,17795.3
1,36,"$34,960",1,18941.3
1,57,"$27,190",0,16326.8
1,26,"$39,548",1,16792.5
1,83,"$23,211",0,21068.2
1,66,"$29,943",1,21183.6
1,63,"$32,107",0,20150.3
1,53,"$19,292",1,20472.2
1,59,"$40,297",1,15721.5
1,85,"$18,055",0,16437.9
1,74,"$34,043",1,16737.0
1,75,"$26,175",0,19105.2
1,18,"$23,894",0,19654.3
1,29,"$34,013",0,17576.7
1,55,"$27,562",1,19891.5
1,77,"$22,367",1,18850.4
1,19,"$11,416",0,15772.6
1,39,"$20,788",0,16377.4
1,73,"$40,949",1,23002.5
1,72,"$46,043",0,20525.4
1,39,"$20,950",0,20699.4
1,26,"$38,718",0,19535.5
1,31,"$15,909",1,23038.2
1,44,"$36,335",0,21754.5
1,57,"$40,284",1,19383.9
1,82,"$24,709",0,19538.5
1,33,"$27,448",0,18299.9
1,68,"$31,029",0,17863.0
1,28,"$22,671",1,16146.7
1,26,"$27,932",1,21705.1
1,84,"$20,764",0,19236.7
1,23,"$23,761",0,18606.2
1,61,"$41,323",1,22795.4
1,30,"$34,197",1,20283.0
1,59,"$23,232",0,17834.4
1,42,"$30,350",0,19019.2
1,19,"$43,445",1,19412.8
1,48,"$24,495",0,17827.3
1,78,"$31,316",1,17992.7
1,67,"$27,745",1,17901.2
1,64,"$27,820",0,19439.6
1,82,"$26,791",0,18883.6
1,18,"$37,305",1,19978.4
1,61,"$42,050",0,22400.6
1,67,"$37,127",0,16908.9
1,40,"$26,607",0,22556.6
1,20,"$20,581",1,22863.0
1,73,"$16,888",1,21136.6
1,71,"$31,291",1,21930.7
1,37,"$19,509",1,19187.2
