state_fips,age,income,urban,weight
1,39,"$48,766",0,4992.3
1,39,"$47,321",0,5356.4
1,36,"$54,499",1,4848.4
1,73,"$47,326",1,5026.8
1,25,"$41,500",0,5608.6
1,77,"$47,785",1,6218.5
1,30,"$40,263",1,5418.3
1,42,"$54,872",0,5252.4
1,53,"$43,907",1,6239.9
1,39,"$42,469",1,6459.6
1,64,"$68,852",0,6037.9
1,68,"$45,363",0,4571.6
1,39,"$65,796",0,6319.6
1,23,"$31,856",1,5915.1
1,58,"$33,626",1,5295.2
1,76,"$74,693",1,4543.6
1,43,"$49,427",1,5041.7
1,30,"$36,602",1,5344.4
1,74,"$32,469",1,4367.3
1,67,"$60,148",0,5841.7
1,55,"$70,929",1,6296.9
1,43,"$67,033",1,4866.3
1,46,"$76,834",0,6111.6
1,49,"$55,029",0,5477.5
1,45,"$66,944",0,5468.5
1,27,"$43,143",0,4707.7
1,56,"$55,275",0,4801.2
1,79,"$40,104",0,4841.8
1,27,"$35,321",0,5591.5
1,49,"$56,405",1,5009.3
1,20,"$40,958",1,6328.8
1,41,"$47,788",0,4971.9
1,70,"$46,084",0,5263.8
1,20,"$29,396",0,6167.7
1,37,"$47,507",1,5793.4
1,27,"$41,965",1,4645.2
1,58,"$60,249",0,5284.6
1,63,"$44,649",0,6440.0
1,32,"$45,836",1,5437.2
1,72,"$56,011",1,4392.1
1,44,"$76,606",1,5868.5
1,80,"$30,909",0,4730.2
1,79,"$58,694",0,5983.0
1,23,"$35,866",1,6056.0
1,79,"$27,531",0,6448.6
1,49,"$51,601",0,5845.6
1,25,"$38,323",1,5559.9
1,43,"$53,694",1,6341.4
1,27,"$67,582",0,5075.0
1,49,"$50,455",1,4756.5
1,33,"$38,244",1,5550.3
1,50,"$50,752",1,6500.6
1,71,"$31,910",0,6489.1
1,41,"$28,586",0,5031.1
1,60,"$46,675",0,6052.3
1,67,"$50,933",0,4728.5
1,60,"$59,018",0,6060.9
1,34,"$47,385",1,5500.0
1,44,"$42,893",1,5110.7
1,78,"$39,561",1,4818.3
1,59,"$56,345",0,4890.9
1,60,"$55,417",1,5588.4
1,55,"$47,340",0,4673.1
1,24,"$21,144",0,6433.6
1,32,"$22,243",0,5670.0
1,53,"$51,586",1,6163.2
1,59,"$38,783",1,5237.4
1,57,"$35,743",1,5408.4
1,32,"$62,020",0,5848.0
1,62,"$29,274",0,5436.2
1,33,"$34,010",1,5086.7
1,40,"$42,621",1,5988.9
1,71,"$44,116",0,6160.9
1,54,"$42,371",1,4537.9
1,37,"$37,458",1,6040.2
1,43,"$80,797",0,4507.4
1,45,"$40,581",0,4364.9
1,71,"$48,656",1,5154.5
1,22,"$71,585",1,6352.3
1,75,"$36,372",0,4947.9
1,21,"$47,968",1,4517.5
1,59,"$48,333",0,6067.6
1,44,"$40,633",1,5153.4
1,22,"$52,999",0,6319.9
1,49,"$63,961",1,5891.7
1,60,"$49,568",1,5412.7
1,18,"$50,660",0,5172.7
1,56,"$15,425",1,5334.3
1,25,"$38,247",1,5123.0
